City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,Severo-Yeniseyskiy,RU,60.3725,93.0408,68.45,47,74,4.5,broken clouds
317,Norman Wells,CA,65.282,-126.8329,84.24,42,20,0.0,smoke
318,Gaya,IN,24.7833,85.0,87.71,70,20,0.0,haze
319,Praia Da Vitoria,PT,38.7333,-27.0667,74.75,100,90,12.06,light intensity drizzle
320,Brae,GB,60.3964,-1.353,48.11,79,100,11.65,overcast clouds
321,Manaure,CO,11.7751,-72.4445,82.62,74,9,14.05,clear sky
322,Naryan-Mar,RU,67.6713,53.087,55.15,71,54,6.91,broken clouds
323,Tumut,AU,-35.3,148.2167,54.59,51,0,7.96,clear sky
324,Spas-Demensk,RU,54.4122,34.0226,64.92,95,80,6.2,broken clouds
325,Beringovskiy,RU,63.05,179.3167,45.03,80,99,24.23,overcast clouds
326,Tura,IN,25.5198,90.2201,79.97,89,93,5.73,overcast clouds
327,Yuzhne,UA,46.6221,31.1013,75.42,81,4,12.44,clear sky
328,Khorixas,NA,-20.3667,14.9667,59.61,29,0,12.19,clear sky
329,Fairbanks,US,64.8378,-147.7164,77.34,60,40,3.44,scattered clouds
330,Constitucion,CL,-35.3333,-72.4167,52.36,63,0,5.95,clear sky
331,Marau,BR,-28.4492,-52.2,43.92,91,1,1.83,clear sky
332,Jonkoping,SE,57.7814,14.1562,55.38,100,90,3.44,light intensity drizzle
333,Labuhan,ID,-6.8844,112.2051,87.49,54,56,2.93,broken clouds
334,Kaabong,UG,3.4836,34.1492,63.27,78,91,4.41,overcast clouds
335,Margate,GB,51.3813,1.3862,57.69,75,88,1.01,overcast clouds
336,Ancud,CL,-41.8697,-73.8203,45.93,89,100,3.22,overcast clouds
337,Cayenne,GF,4.9333,-52.3333,74.08,90,0,3.44,clear sky
338,Port Blair,IN,11.6667,92.75,83.35,80,100,20.2,overcast clouds
339,Gyula,HU,46.65,21.2833,66.78,91,77,5.55,broken clouds
340,Russell,US,32.3502,-85.1999,79.88,90,1,0.0,clear sky
341,Kuytun,RU,54.3419,101.5036,55.31,97,100,9.57,light rain
342,Bosobolo,CD,4.1833,19.9,68.05,96,98,0.89,overcast clouds
343,Santa Luzia,BR,-19.7697,-43.8514,56.3,67,0,6.91,clear sky
344,Manokwari,ID,-0.8667,134.0833,84.33,71,34,10.85,scattered clouds
345,Ajaccio,FR,42.0,8.9167,69.85,72,75,6.91,broken clouds
346,Gamba,GA,-2.65,10.0,71.78,88,43,3.44,scattered clouds
347,Batangafo,CF,7.3008,18.2833,69.44,98,99,3.31,light rain
